country,month,trends,twitter,news,overall
GD,2017-11,,3.01493764561,,
IR,2018-1,3.18181818182,0.772317456053,3.46058079775,2.47157214521
BL,2018-2,,,,
BH,2017-11,,0.142419710888,,
CC,2017-11,,,2.04315646826,
TO,2017-11,,,6.0,
ZW,2018-1,5.45454545455,7.66666666667,7.88026398492,7.00049203538
PR,2017-11,3.18181818182,0.351490417004,5.18582541054,2.90637800312
VG,2017-12,,,3.16751269036,
MX,2017-12,24.2727272727,1.25282058205,6.3602030134,10.6285836227
PY,2017-11,7.90909090909,0.901281509647,1.09218567156,3.30085269677
CF,2018-2,,,,
TH,2018-2,4.0,2.57248803723,1.86315954282,2.81188252668
TC,2018-1,,,,
IS,2017-11,,0.53547523427,0.998829496684,0.767152365477
VN,2017-11,7.36363636364,0.557103064067,0.592828685259,2.83785603765
PF,2018-1,,24.8648648649,7.6714801444,16.2681725046
BG,2018-1,3.18181818182,2.32699312019,0.93860877121,2.14914002441
AI,2017-11,,1.02827763496,8.98876404494,5.00852083995
AR,2017-11,11.0909090909,0.394129834552,1.29820785828,4.26108226125
CV,2018-1,,1.10978865764,9.30996714129,5.20987789947
RW,2018-2,1.90909090909,,,
CG,2017-12,,,,
LS,2017-11,,1.31406044678,,
AG,2017-11,,,4.0,
YT,2017-12,,,,
MX,2017-11,34.3636363636,0.981304648275,5.34161645647,13.5621858228
MR,2017-11,,0.587199060482,4.662004662,2.62460186124
ER,2017-11,,6.4308681672,,
US,2017-11,16.5,0.864617112624,3.66510809392,7.00990840218
GB,2017-11,7.81818181818,1.21470392844,3.63383666942,4.22224080535
GN,2017-11,,,,
NE,2017-11,4.54545454545,3.4188034188,,3.98212898213
IL,2017-11,3.13636363636,0.530328140537,0.731386220684,1.46602599919
SA,2018-2,3.18181818182,3.16715131556,1.87755102041,2.74217350593
KN,2017-11,,,,
AE,2017-11,8.13636363636,0.459911083857,7.78337423049,5.45988298357
TR,2017-11,2.90909090909,0.37055264453,1.42338369756,1.56767575039
ZM,2017-11,,0.572000572001,9.11062906725,4.84131481962
SE,2017-11,8.27272727273,2.18720638295,1.87597069866,4.11196811811
SZ,2017-12,,,4.21052631579,
PK,2017-11,6.95454545455,1.76512050798,9.30456791611,6.00807795955
UZ,2017-12,3.04545454545,2.59981429898,3.77985462098,3.1417078218
TM,2018-1,,,,
GL,2017-11,,,,
KG,2018-1,3.22727272727,7.56578947368,3.15714285714,4.6500683527
PT,2017-11,8.95454545455,0.257065836645,6.30802798886,5.17321309335
MY,2017-11,8.54545454545,0.398678067461,3.83030418523,4.25814559938
TJ,2018-1,,,5.82524271845,
GW,2017-11,,,,
GT,2017-11,11.2272727273,0.67086284801,5.77200577201,5.89004711576
CX,2017-11,,,,
GH,2017-11,17.6818181818,0.394890121824,6.74157303371,8.27276044578
UA,2017-11,4.36363636364,0.293847566575,0.882951326865,1.84681175236
SE,2017-12,6.59090909091,2.52341562329,2.22151732144,3.77861401188
AU,2018-1,4.09090909091,12.20746194,4.7107631253,7.00304471873
GI,2017-11,,6.27352572146,16.1849710983,11.2292484099
LK,2017-11,2.36363636364,1.37551581843,5.92839300583,3.22251506263
RU,2017-11,5.86363636364,0.421072330869,1.91174248149,2.732150392
DK,2017-12,8.86363636364,3.83416753234,4.71023274603,5.80267888067
ET,2017-11,29.8636363636,1.24223602484,54.5454545455,28.5504423113
ZA,2018-2,8.22727272727,2.46818814396,4.52347968675,5.07298018599
BV,2017-11,,,,
IR,2017-11,3.40909090909,0.495796993667,3.57679636855,2.4938947571
KM,2017-11,,,,
GP,2017-11,,0.566732785492,,
TK,2018-1,,,3.6811023622,
EG,2017-11,2.5,0.112589790358,0.753802665231,1.12213081853
SJ,2018-2,,,,
CL,2017-11,17.9090909091,1.31534813977,3.38904543174,7.5378281602
BL,2017-11,,,,
GH,2017-12,8.95454545455,0.669349376469,10.4838709677,6.70258859959
DJ,2017-11,,2.2271714922,,
TW,2017-11,5.54545454545,0.465032164725,0.564902869219,2.19179652647
HR,2017-11,2.77272727273,0.600901352028,0.558261414452,1.31063001307
NL,2017-11,4.63636363636,2.29751611622,5.53682525751,4.15690167003
MM,2017-11,,1.11259457054,4.28481411468,2.69870434261
MV,2017-12,,1.92025080827,,
KI,2017-12,,,,
DZ,2017-11,8.0,0.524555766835,,4.26227788342
GY,2018-1,,6.17283950617,27.868852459,17.0208459826
KP,2017-12,,0.787844682048,,
UM,2018-2,,,,
MA,2017-11,3.31818181818,0.628394452175,1.77722152691,1.90793259909
PE,2017-11,27.6363636364,0.824759273387,2.13377102995,10.1982979799
ME,2017-12,,,2.26489803999,
NE,2017-12,4.54545454545,,,
VC,2017-11,,0.898317382441,,
EH,2018-2,,,,
AU,2017-12,5.72727272727,3.40592946466,6.87023606042,5.33447941745
SA,2017-11,3.68181818182,0.174520613689,1.02015426723,1.62549768758
AW,2018-1,,,,
KY,2017-11,,,6.09243697479,
MQ,2017-11,,1.26876718122,,
GM,2018-1,,,,
TJ,2017-11,,,5.43245175125,
ID,2017-11,6.54545454545,0.393216068412,2.82453062048,3.25440041145
AX,2017-11,,,3.28767123288,
SX,2018-1,,,0.774663932559,
IM,2017-11,,,4.41014332966,
TM,2017-12,,4.87804878049,,
MK,2017-11,,0.465766185375,0.0264532768997,0.246109731137
HK,2017-11,14.6363636364,0.914327512115,2.78796107717,6.11288407522
ZW,2017-11,7.18181818182,0.349040139616,7.55244755245,5.02776862463
ET,2018-2,15.4090909091,6.74626865672,100.0,40.7184531886
DK,2017-11,10.6363636364,2.48326016585,4.1489239268,5.75618257634
DO,2018-2,13.4545454545,4.0711289534,6.62251655629,8.04939698808
